HGNC gene	Residual Variation Intolerance Score	Residual Variation Intolerance Score Percentile
RYR1	-8.291678111	0.005897617
UBR4	-7.504914615	0.011795235
LRP1	-7.278555259	0.017692852
CSMD1	-7.110830664	0.023590469
PLEC	-6.570947902	0.029488087
TRRAP	-6.141724508	0.035385704
DYNC1H1	-6.0104656	0.041283322
HERC2	-5.985628431	0.047180939
RYR2	-5.869562633	0.053078556
RYR3	-5.868890763	0.058976174
MLL2	-5.294103076	0.064873791
INTS1	-5.050633482	0.070771408
SDK1	-4.629838752	0.076669026
SRRM2	-4.509811703	0.082566643
PLXNA1	-4.392380749	0.08846426
ANKRD11	-4.377281501	0.094361878
PTPRS	-4.366877839	0.100259495
BIRC6	-4.329772159	0.106157113
CELSR3	-4.265082462	0.11205473
ZFHX3	-4.263203714	0.117952347
ABCA2	-4.237700156	0.123849965
COL7A1	-4.236423245	0.129747582
VPS13D	-4.233186317	0.135645199
SPTBN2	-4.229202843	0.141542817
DSCAML1	-4.215605034	0.147440434
SRCAP	-4.139116223	0.153338051
STAB1	-4.124226635	0.159235669
ITPR3	-4.091558817	0.165133286
SBF1	-4.050718657	0.171030904
TRIO	-4.037140278	0.176928521
PI4KA	-4.02197819	0.182826138
MEGF8	-4.008216118	0.188723756
BSN	-3.964560865	0.194621373
PTPRF	-3.924965486	0.20051899
MACF1	-3.915490887	0.206416608
HERC1	-3.879373239	0.212314225
EP400	-3.863869047	0.218211842
SPTBN1	-3.862151662	0.22410946
CAD	-3.840064972	0.230007077
GCN1L1	-3.766903034	0.235904695
LRP5	-3.724445291	0.241802312
HMCN1	-3.689691478	0.247699929
RAI1	-3.683732498	0.253597547
EP300	-3.681999375	0.259495164
KIF1A	-3.665133381	0.265392781
KALRN	-3.651326374	0.271290399
DOPEY2	-3.64623945	0.277188016
MYH7	-3.644803418	0.283085633
FLNC	-3.641201716	0.288983251
DIP2C	-3.62272315	0.294880868
USP34	-3.59020415	0.300778485
TRANK1	-3.561263122	0.306676103
SPTAN1	-3.530899533	0.31257372
POLR2A	-3.515858098	0.318471338
CACNA1D	-3.512328228	0.324368955
NOTCH1	-3.510304589	0.330266572
ANK3	-3.496995436	0.33616419
MTOR	-3.492013613	0.342061807
CSMD3	-3.486527925	0.347959424
TLN2	-3.469503166	0.353857042
ODZ3	-3.45943214	0.359754659
TLN1	-3.420504246	0.365652276
CPSF1	-3.400182535	0.371549894
FASN	-3.393118793	0.377447511
CIC	-3.381635251	0.383345129
ZZEF1	-3.376061946	0.389242746
HUWE1	-3.359560776	0.395140363
ITPR1	-3.352519381	0.401037981
MLL	-3.347291482	0.406935598
ANK2	-3.328508946	0.412833215
PLXNB2	-3.297942414	0.418730833
CDC42BPB	-3.291569382	0.42462845
DSCAM	-3.289804051	0.430526067
C11orf41	-3.240384062	0.442321302
FLNA	-3.240384062	0.442321302
DOT1L	-3.179435477	0.44821892
ANK1	-3.143373593	0.454116537
NBEAL2	-3.116122747	0.460014154
MYH11	-3.099214965	0.465911772
NF1	-3.091147521	0.471809389
KAT6A	-3.089379839	0.477707006
PTPRD	-3.078871465	0.483604624
CHD5	-3.065544169	0.489502241
LYST	-3.039637526	0.495399858
PRPF8	-3.03027298	0.501297476
BCOR	-3.028489223	0.507195093
ADCY7	-3.024935465	0.513092711
COL5A1	-3.009169053	0.524887945
KIAA1217	-3.009169053	0.524887945
ITGB4	-3.005715162	0.530785563
GBF1	-3.002865511	0.53668318
SMG1	-2.975494782	0.542580797
ANKRD17	-2.938435282	0.548478415
FLII	-2.936657799	0.554376032
SETD1A	-2.934884757	0.560273649
CHD7	-2.924339304	0.566171267
UBR5	-2.918150067	0.572068884
KIF21B	-2.914589271	0.577966502
SEMA5A	-2.892521092	0.583864119
UNC13B	-2.888976416	0.589761736
SMARCA4	-2.851950648	0.601556971
TAOK2	-2.851950648	0.601556971
