Background	FLAGS	OMIM	HGMD	WES
TTN	TTN	CYP17A1	F8	DHODH
MUC16	MUC16	HSD17B10	APC	RBM10
OBSCN	OBSCN	DHTKD1	LDLR	SETBP1
AHNAK2	AHNAK2	ACADSB	FBN1	GPSM2
SYNE1	SYNE1	CUL7	DMD	FLVCR2
FLG	FLG	OBSL1	NF1	KMT2D
MUC5B	MUC5B	MCCC1	CFTR	WDR35
DNAH17	DNAH17	MCCC2	F9	WDR62
PLEC	PLEC	HSD3B2	BRCA2	PIGV
DST	DST	HIBCH	BRCA1	SDCCAG8
SYNE2	SYNE2	SERAC1	PKD1	MASP1
NEB	NEB	AUH	BTK	ACAD9
HSPG2	HSPG2	OPA3	SCN1A	ANGPTL3
LAMA5	LAMA5	DNAJC19	ATP7B	FADD
AHNAK	AHNAK	MASP1	GCK	TGM6
HMCN1	HMCN1	COLEC11	COL7A1	CEP152
USH2A	USH2A	MECOM	RB1	DHDDS
DNAH11	DNAH11	SRY	CHD7	TECR
MACF1	MACF1	DHH	GLA	ARHGAP31
MUC17	MUC17	NR5A1	ABCD1	AARS2
DNAH5	DNAH5	CBX2	MEN1	IMPAD1
GPR98	GPR98	MAP3K1	ATM	BANF1
FAT1	FAT1	AKR1C2	CYBB	KIF1A
PKD1	PKD1	DPYD	MLH1	FAM20A
MDN1	MDN1	OPLAH	MSH2	AP4S1
RNF213	RNF213	TPMT	MYBPC3	ZBTB24
RYR1	RYR1	ACAT2	HNF1A	NCSTN
DNAH2	DNAH2	TBX22	JAG1	VPS35
DNAH3	DNAH3	STEAP3	IDS	CCDC8
DNAH8	DNAH8	SLC35A3	AR	AKT1
DNAH1	DNAH1	TRAF3IP2	TSC2	PSMC3IP
DNAH9	DNAH9	ACTN2	MYH7	ADK
ABCA13	ABCA13	CRAT	PTEN	KAT6B
APOB	APOB	WFS1	SERPING1	MEGF10
SRRM2	SRRM2	SORD	EXT1	WDR19
CUBN	CUBN	ATP8A2	ABCC8	PRRT2
SPTBN5	SPTBN5	ATP13A2	COL4A5	POLR3A
PKHD1	PKHD1	PDK3	SPAST	IDH1
LRP2	LRP2	TRIM2	GAA	CSF1R
FBN3	FBN3	SBF1	NSD1	GATAD1
CDH23	CDH23	SLC26A3	COL2A1	EZH2
DNAH10	DNAH10	MRPL44	VHL	KIF22
FAT4	FAT4	LYRM4	GJB1	PLA2G5
RYR3	RYR3	CFB	HMBS	DLX5
PKHD1L1	PKHD1L1	UNC119	SLC12A3	KLHL3
FAT2	FAT2	NGLY1	ENG	NDUFB3
CSMD1	CSMD1	STT3A	WAS	RIPK4
PCNT	PCNT	STT3B	PKHD1	SLC6A3
COL6A3	COL6A3	NLRP1	CAPN3	SLCO2A1
FRAS1	FRAS1	KIF5C	ABCA4	THRA
FCGBP	FCGBP	COX6B1	PHEX	ACTB
DNAH7	DNAH7	DECR1	USH2A	AGK
RP1L1	RP1L1	COL4A6	NF2	DDOST
PCLO	PCLO	ELMOD3	PROC	EFTUD2
ZFHX3	ZFHX3	KIAA1199	PAX6	GPR179
COL7A1	COL7A1	RPL26	NPC1	KIF11
LRP1B	LRP1B	RPL15	ACVRL1	RAD51
FAT3	FAT3	DSE	SLC26A4	RTN2
EPPK1	EPPK1	CNTN2	IRF6	SRCAP
VPS13C	VPS13C	EHHADH	KCNH2	ACO2
HRNR	HRNR	EPHX1	DYSF	ARID1B
MKI67	MKI67	GOPC	PROS1	CTC1
MYO15A	MYO15A	ITGA2	HPRT1	DNAJB6
STAB1	STAB1	FTH1	PAH	MAFB
ZAN	ZAN	BCAT1	PTCH1	MCM4
UBR4	UBR4	PRLR	OPA1	SMARCB1
VPS13B	VPS13B	PNMT	TP53	XRCC2
LAMA1	LAMA1	NPR3	MECP2	TRPV3
XIRP2	XIRP2	BCAT2	VWF	C5orf42
BSN	BSN	MALT1	GBA	CHST8
KMT2C	KMT2C	TNFRSF4	NIPBL	CIZ1
ALMS1	ALMS1	PRKCD	HBB	DST
CELSR1	CELSR1	HNRNPA1	SERPINC1	EXOSC3
TG	TG	MARS	FANCA	GUCY2C
LAMA3	LAMA3	GHRH	STK11	LZTFL1
DYNC2H1	DYNC2H1	CIDEC	TCOF1	MFF
KMT2D	KMT2D	LARS	MTM1	NDUFS8
BRCA2	BRCA2	ACP2	COL1A1	PDE4D
CMYA5	CMYA5	UBE2B	GJB2	PIGL
SACS	SACS	ACR	F7	ROGDI
STAB2	STAB2	LHB	CPS1	ADCY5
AKAP13	AKAP13	TBC1D7	TYR	CEP135
UTRN	UTRN	ATP6AP2	RET	CYP4V2
VWF	VWF	ZBTB18	NOTCH3	DNAJC6
VPS13D	VPS13D	ANK3	BMPR2	DYNC1H1
ANK3	ANK3	PHC1	LMNA	UVSSA
FREM2	FREM2	NAA10	L1CAM	NNT
PKD1L1	PKD1L1	HOXA2	MUT	PLCB4
LAMA2	LAMA2	ATP5A1	MYO7A	SF3B4
ABCA7	ABCA7	NDUFB9	AVPR2	SRP72
LRP1	LRP1	FASTKD2	COL3A1	ABCC9
ASPM	ASPM	TACO1	ALPL	AKT3
MYOM2	MYOM2	PIGT	ATP7A	MTO1
PDE4DIP	PDE4DIP	IBA57	BEST1	NSUN2
TACC2	TACC2	VTI1A	SCN5A	SERAC1
MUC2	MUC2	DES	PKLR	CARD14
TEP1	TEP1	NOTCH3	CASR	CD27
HELZ2	HELZ2	POLA1	NPHS1	FAN1
HERC2	HERC2	NAT8L	MSH6	LARS
ABCA4	ABCA4	NEK8	F11	PIGO
PPL		ARHGDIA	WFS1	RAB33B
SDK1		TP73	EDA	TGFB2
LYST		UCHL1	GALNS	CCDC78
AKAP9		VDR	IL2RG	PIEZO1
VCAN		PAX1	IDUA	IFITM5
HERC1		EYA1	GCH1	LRBA
CACNA1H		ERMARD	ACTA1	KMT2A
CELSR2		PCK1	KRIT1	PFN1
LRBA		ZNF141	EXT2	POC1A
SPTA1		KCNJ8	ELANE	TCTN3
SPTB		PGR	CLCN1	TFG
ANK2		ZFHX4	ATP2A2	COL14A1
CSMD2		ATOH7	TSC1	GRM1
SVEP1		RBP3	ABCB11	POMGNT2
ACACB		NEK2	MPZ	NMNAT1
CELSR3		TGFB3	FECH	ATP2B3
CSMD3		SSX1	PKD2	SLC52A2
DCHS1		SSX2	NR0B1	SORL1
DMD		C19orf12	OCRL	TSPEAR
PRKDC		REEP2	PPOX	AAGAB
IGSF10		EEF2	RYR1	ABCD4
RELN		ATP2B3	CD40LG	SLC52A3
OTOF		DLX5	SDHB	ALG13
DCHS2		TBX6	POLG	ATP1A3
MYO18B		C4A	RYR2	CLIC2
BIRC6		GATA4	CREBBP	FARS2
DMXL1		SLC34A2	KCNQ1	HEATR2
PDZD2		TBXAS1	CEP290	HYDIN
COL6A6		MMP14	GNAS	PLCG2
MYO7A		SLC9A9	RUNX2	RMND1
CENPF		EDNRB	CYP21A2	TMEM231
FBN2		ACAD9	ZEB2	TMEM38B
TNXB		GNAS	ADAR	CD59
NCOR2		TP63	COMP	CYP26C1
SPEN		ATIC	SHH	HOXC13
ATM		FGD1	SLC2A1	IGSF1
DNHD1		SOX9	SMPD1	KCNT1
HYDIN		CAT	LMX1B	NIN
